ID,CONSOLE,YEAR,CATEGORY,PUBLISHER,RATING,CRITICS_POINTS,USER_POINTS,SalesInMillions
2860,ds,2008,role-playing,Nintendo,E,2.8333333333333335,0.3037037037037037,1.7792573645377137
731,wii,2012,simulation,Konami Digital Entertainment,E10+,13.2,1.64,0.21504956996959468
495,pc,2019,shooter,Activision,M,4.5625,0.00641025641025641,0.5344016462886677
2641,ps2,2002,sports,Electronic Arts,E,4.181818181818182,0.3269230769230769,1.3839642351062431
811,ps3,2013,action,Activision,M,2.259259259259259,0.03257918552036199,0.08267053460319962
1803,ps2,2004,platform,Sony Computer Entertainment,E,2.5714285714285716,0.02770700636942675,4.491289146341048
1470,psp,2008,strategy,Idea Factory,T,17.5,0.4647058823529412,0.7913054538456433
3781,ps3,2014,racing,Atari,T,1.627906976744186,0.13863636363636364,1.9756612907471571
325,ps2,2004,racing,Empire Interactive,T,4.133333333333334,0.265,3.7714832326537997
2380,ps3,2008,racing,Sony Computer Entertainment,T,9.333333333333334,0.032589285714285716,6.807886864432228
574,pc,2016,simulation,Paradox Interactive,E,1.4166666666666667,0.0063031161473087825,0.5776626611503687
3561,wii,2010,action,Lucasarts,T,2.3333333333333335,0.355,3.0046142866199554
1593,ps2,2006,misc,Redoctane,T,1.4,0.05028901734104046,0.5016464696817318
4416,x,2007,strategy,Codemasters,T,2.5555555555555554,1.5333333333333332,1.9623252508485136
1784,x360,2012,shooter,Namco Bandai Games,M,1.0392156862745099,0.09027777777777778,0.35353856129104894
3171,ps2,2008,simulation,Konami Digital Entertainment,T,4.125,0.78,0.765968576587521
822,psv,2016,action,Tecmo Koei,M,18.25,0.89,2.4594147592098103
2972,ps2,2006,role-playing,Square Enix,T,2.0555555555555554,0.16545454545454544,2.121669129319457
3761,gba,2002,fighting,Infogrames,T,5.857142857142857,0.6307692307692307,2.5242246142698033
3158,ps2,2007,fighting,Konami Digital Entertainment,M,1.5,0.3952380952380953,1.8860519817283652
1630,x360,2013,shooter,Microsoft Game Studios,M,1.1232876712328768,0.016598360655737703,0.9573866370635924
3521,gba,2004,platform,Universal Interactive,E,5.538461538461538,0.5,2.3929175038718036
210,gba,2004,action,Thq,E,2.2972972972972974,0.45789473684210524,1.4137725369022194
1911,gc,2006,racing,Nintendo,E,2.1785714285714284,0.11142857142857143,1.9381858670756684
3822,ps2,2006,racing,Ubisoft,E,3.0588235294117645,0.85,0.22944886994965877
1289,ps2,2002,sports,Electronic Arts,E,5.866666666666666,0.19142857142857142,4.18248864871254
2369,ps,2004,racing,Take-Two Interactive,E,5.666666666666667,0.8833333333333333,1.8431679617089096
